id;Model;Year;Region;Color;Fuel_Type;Transmission;Engine_Size_L;Mileage_KM;Price_USD;Sales_Volume;Sales_Classification
1;5 Series;2016;Asia;Red;Petrol;Manual;35;151748;98740;8300;High
2;i8;2013;North America;Red;Hybrid;Automatic;16;121671;79219;3428;Low
3;5 Series;2022;North America;Blue;Petrol;Automatic;45;10991;113265;6994;Low
4;X3;2024;Middle East;Blue;Petrol;Automatic;17;27255;60971;4047;Low
5;7 Series;2020;South America;Black;Diesel;Manual;21;122131;49898;3080;Low
6;5 Series;2017;Middle East;Silver;Diesel;Manual;19;171362;42926;1232;Low
7;i8;2022;Europe;White;Diesel;Manual;18;196741;55064;7949;High
8;M5;2014;Asia;Black;Diesel;Automatic;16;121156;102778;632;Low
9;X3;2016;South America;White;Diesel;Automatic;17;48073;116482;8944;High
10;i8;2019;Europe;White;Electric;Manual;30;35700;96257;4411;Low
11;3 Series;2012;Middle East;White;Electric;Manual;24;101595;117995;500;Low
12;i8;2016;North America;Blue;Hybrid;Manual;19;116863;74539;8252;High
13;7 Series;2020;North America;Silver;Diesel;Automatic;38;27403;100015;8111;High
14;5 Series;2020;Africa;White;Electric;Manual;23;163444;119486;4668;Low
15;X1;2017;Asia;Black;Electric;Automatic;16;107918;34078;7291;High
16;M3;2014;North America;Silver;Hybrid;Manual;30;154050;94997;7765;High
17;X5;2013;Asia;Blue;Electric;Manual;26;110142;114844;5561;Low
18;M5;2017;North America;Red;Diesel;Automatic;26;86900;81934;9755;High
19;5 Series;2017;North America;Silver;Electric;Manual;31;57843;111326;4880;Low
20;X5;2012;Africa;Blue;Electric;Manual;38;142243;82677;7104;High
21;X3;2015;North America;Red;Diesel;Automatic;37;123910;88091;8635;High
22;X1;2014;Africa;White;Petrol;Manual;48;13568;62941;1113;Low
23;M5;2011;Europe;Grey;Electric;Automatic;33;78042;49507;9383;High
24;7 Series;2017;North America;Black;Petrol;Automatic;32;58288;101791;7521;High
25;X5;2021;South America;Red;Diesel;Manual;22;184981;47527;6273;Low
26;X3;2023;Middle East;White;Electric;Automatic;41;194398;85370;4645;Low
27;M3;2015;Asia;Red;Hybrid;Manual;20;41514;116902;8897;High
28;X1;2011;North America;Black;Hybrid;Automatic;32;104742;107465;6481;Low
29;M5;2021;Asia;Red;Hybrid;Automatic;30;105162;32076;9469;High
30;M3;2014;Asia;White;Electric;Automatic;38;90282;64049;1440;Low
31;i8;2010;South America;Black;Hybrid;Automatic;47;16020;102215;5006;Low
32;i8;2021;South America;Silver;Diesel;Manual;48;3188;64577;448;Low
33;M5;2019;Asia;Red;Diesel;Manual;21;97294;53277;4091;Low
34;i8;2015;Asia;White;Hybrid;Automatic;24;194395;118788;3384;Low
35;X1;2022;Middle East;Grey;Hybrid;Manual;43;143013;116432;4926;Low
36;M5;2021;South America;Grey;Petrol;Automatic;33;88342;108240;4561;Low
37;X3;2018;Middle East;White;Petrol;Manual;31;33370;52717;8046;High
38;i8;2010;Middle East;Grey;Petrol;Automatic;40;98514;37949;2278;Low
39;M3;2020;Africa;Black;Petrol;Manual;36;82668;86748;3929;Low
40;X5;2020;Middle East;White;Hybrid;Automatic;49;132299;35401;7110;High
